Error Type,Topic Guid,Message
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Missing tables headers in file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Found nested table in md file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Fixing missing end table tag in file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Fixing missing end table tag in file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Fixing missing end table tag in file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,91f2d947-45fc-4fab-bd8b-2e313531c477,Found invalid tables saving file:91f2d947-45fc-4fab-bd8b-2e313531c477.md
Warning,92f5a3ac-beec-4af5-bfe9-0cbf3d660298,Missing tables headers in file:92f5a3ac-beec-4af5-bfe9-0cbf3d660298.md
Warning,a2394a4c-7522-484c-a047-7b3289742be0,Found a an ul list inside a table in html file:a2394a4c-7522-484c-a047-7b3289742be0.xml
Warning,a2394a4c-7522-484c-a047-7b3289742be0,Found nested table in md file:a2394a4c-7522-484c-a047-7b3289742be0.md
Warning,ab9f05a2-22cb-4692-a585-27f82d1b37c7,Missing tables headers in file:ab9f05a2-22cb-4692-a585-27f82d1b37c7.md
Warning,b0d2b50e-def3-4bd8-82d4-a27f4b6f205c,Missing tables headers in file:b0d2b50e-def3-4bd8-82d4-a27f4b6f205c.md
Warning,b9019c36-034f-40c7-acb0-c2a0400b03c3,Found a an ul list inside a table in html file:b9019c36-034f-40c7-acb0-c2a0400b03c3.xml
Warning,b9019c36-034f-40c7-acb0-c2a0400b03c3,Missing tables headers in file:b9019c36-034f-40c7-acb0-c2a0400b03c3.md
Warning,b9019c36-034f-40c7-acb0-c2a0400b03c3,Fixing missing end table tag in file:b9019c36-034f-40c7-acb0-c2a0400b03c3.md
Warning,b9019c36-034f-40c7-acb0-c2a0400b03c3,Fixing missing end table tag in file:b9019c36-034f-40c7-acb0-c2a0400b03c3.md
Warning,b9019c36-034f-40c7-acb0-c2a0400b03c3,Found invalid tables saving file:b9019c36-034f-40c7-acb0-c2a0400b03c3.md
Warning,b9ec7289-e9cc-4ac2-896f-caaa6a1fa358,Missing tables headers in file:b9ec7289-e9cc-4ac2-896f-caaa6a1fa358.md
Warning,baa3645a-0518-472e-942e-971c63ba4ca0,Found nested table in md file:baa3645a-0518-472e-942e-971c63ba4ca0.md
Warning,baa3645a-0518-472e-942e-971c63ba4ca0,Fixing missing end table tag in file:baa3645a-0518-472e-942e-971c63ba4ca0.md
Warning,baa3645a-0518-472e-942e-971c63ba4ca0,Found invalid tables saving file:baa3645a-0518-472e-942e-971c63ba4ca0.md
Warning,bc9756d1-8a2f-42c4-98f6-afb17c29231c,Found a an ul list inside a table in html file:bc9756d1-8a2f-42c4-98f6-afb17c29231c.xml
Warning,bc9756d1-8a2f-42c4-98f6-afb17c29231c,Missing tables headers in file:bc9756d1-8a2f-42c4-98f6-afb17c29231c.md
Warning,bc9756d1-8a2f-42c4-98f6-afb17c29231c,Found nested table in md file:bc9756d1-8a2f-42c4-98f6-afb17c29231c.md
Warning,bc9756d1-8a2f-42c4-98f6-afb17c29231c,Fixing missing end table tag in file:bc9756d1-8a2f-42c4-98f6-afb17c29231c.md
Warning,bc9756d1-8a2f-42c4-98f6-afb17c29231c,Found invalid tables saving file:bc9756d1-8a2f-42c4-98f6-afb17c29231c.md
Warning,bc9bd328-c5b2-44e5-af15-e02bf00e1c81,Found a an ul list inside a table in html file:bc9bd328-c5b2-44e5-af15-e02bf00e1c81.xml
Warning,bf4ea2ea-4f7c-4f41-8e4c-d9ceb11626cc,Found a an ul list inside a table in html file:bf4ea2ea-4f7c-4f41-8e4c-d9ceb11626cc.xml
Warning,bfda8317-12a9-4594-9fb3-c0061a82711e,Missing tables headers in file:bfda8317-12a9-4594-9fb3-c0061a82711e.md
Warning,c0295253-32cc-44ad-99bf-d4737a91a4aa,Found a an dl list inside a table in html file:c0295253-32cc-44ad-99bf-d4737a91a4aa.xml
Error,c0295253-32cc-44ad-99bf-d4737a91a4aa,Checking for list in tables in file:c0295253-32cc-44ad-99bf-d4737a91a4aa.xml message:System.Collections.ArrayList
Warning,c0295253-32cc-44ad-99bf-d4737a91a4aa,Found nested table in md file:c0295253-32cc-44ad-99bf-d4737a91a4aa.md
Warning,c0295253-32cc-44ad-99bf-d4737a91a4aa,Fixing missing end table tag in file:c0295253-32cc-44ad-99bf-d4737a91a4aa.md
Warning,c0295253-32cc-44ad-99bf-d4737a91a4aa,Fixing missing end table tag in file:c0295253-32cc-44ad-99bf-d4737a91a4aa.md
Warning,c0295253-32cc-44ad-99bf-d4737a91a4aa,Found invalid tables saving file:c0295253-32cc-44ad-99bf-d4737a91a4aa.md
Warning,c0ab5bc9-44f1-46dd-b401-828e4f10b7ac,Found a an ul list inside a table in html file:c0ab5bc9-44f1-46dd-b401-828e4f10b7ac.xml
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Found a an ul list inside a table in html file:c3c89995-65dd-4715-9e38-bb244c742c6b.xml
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Found nested table in md file:c3c89995-65dd-4715-9e38-bb244c742c6b.md
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Fixing missing end table tag in file:c3c89995-65dd-4715-9e38-bb244c742c6b.md
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Fixing missing end table tag in file:c3c89995-65dd-4715-9e38-bb244c742c6b.md
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Fixing missing end table tag in file:c3c89995-65dd-4715-9e38-bb244c742c6b.md
Warning,c3c89995-65dd-4715-9e38-bb244c742c6b,Found invalid tables saving file:c3c89995-65dd-4715-9e38-bb244c742c6b.md
Warning,cbafd5c3-e499-497b-a0cb-b0940d7afd20,Found a an ul list inside a table in html file:cbafd5c3-e499-497b-a0cb-b0940d7afd20.xml
Warning,cbafd5c3-e499-497b-a0cb-b0940d7afd20,Missing tables headers in file:cbafd5c3-e499-497b-a0cb-b0940d7afd20.md
Warning,cdd4801a-2fe1-4aab-bbb6-db5f95f972d1,Found a an ol list inside a table in html file:cdd4801a-2fe1-4aab-bbb6-db5f95f972d1.xml
Warning,d01954f1-4f37-4cf5-a636-20039e5c59e9,Found a an ul list inside a table in html file:d01954f1-4f37-4cf5-a636-20039e5c59e9.xml
Warning,d0b9c232-2970-41cb-adf3-df91f03347c1,Found nested table in md file:d0b9c232-2970-41cb-adf3-df91f03347c1.md
Warning,d0b9c232-2970-41cb-adf3-df91f03347c1,Fixing missing end table tag in file:d0b9c232-2970-41cb-adf3-df91f03347c1.md
Warning,d0b9c232-2970-41cb-adf3-df91f03347c1,Found invalid tables saving file:d0b9c232-2970-41cb-adf3-df91f03347c1.md
Warning,d2be8c74-3ba2-4b2d-9807-634904e1f0e8,Missing tables headers in file:d2be8c74-3ba2-4b2d-9807-634904e1f0e8.md
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Found a an ul list inside a table in html file:d3b2d569-4ee9-44b8-92bf-d518142f0713.xml
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Found nested table in md file:d3b2d569-4ee9-44b8-92bf-d518142f0713.md
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Fixing missing end table tag in file:d3b2d569-4ee9-44b8-92bf-d518142f0713.md
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Fixing missing end table tag in file:d3b2d569-4ee9-44b8-92bf-d518142f0713.md
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Fixing missing end table tag in file:d3b2d569-4ee9-44b8-92bf-d518142f0713.md
Warning,d3b2d569-4ee9-44b8-92bf-d518142f0713,Found invalid tables saving file:d3b2d569-4ee9-44b8-92bf-d518142f0713.md
Warning,da3386ab-0397-4c55-b9f0-9dbeade93455,Found a an ul list inside a table in html file:da3386ab-0397-4c55-b9f0-9dbeade93455.xml
Warning,dce3356e-83a3-4718-88e7-59885bbaa911,Found herf tag with an image in file:dce3356e-83a3-4718-88e7-59885bbaa911.md total found:3
Warning,dfe5d76a-1d9f-48cf-bdc9-7681831b5d12,Missing tables headers in file:dfe5d76a-1d9f-48cf-bdc9-7681831b5d12.md
Warning,e62ac09f-dfdc-4306-8e06-31349a3b27f0,Found a an ul list inside a table in html file:e62ac09f-dfdc-4306-8e06-31349a3b27f0.xml
Warning,e62ac09f-dfdc-4306-8e06-31349a3b27f0,Missing tables headers in file:e62ac09f-dfdc-4306-8e06-31349a3b27f0.md
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found a an ul list inside a table in html file:e97aeeee-9e43-416f-b433-9cdd63d8874b.xml
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Percentage of time that the client is running &lt; 70% expected video processing capability for this type of CPU grouped by range </p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>1 minute &lt; = stream duration &lt; 2 minutes </p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>2 minutes &lt; = stream duration &lt; 3 minutes </p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>3 minutes &lt; = stream duration &lt; 4 minutes </p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>The &lt;sort order string&gt; is used to control the sort order when presenting the data and can be used for filtering. For example- a filter on Duration (Minutes) &lt; "065"- would show streams with duration less than 2 minutes (The leading '0' is needed for the filter to work as expected).</p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Average of percentage of time that the client is running &lt; 70% expected video processing capability for this type of CPU for streams. </p> in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md total found:0
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Missing tables headers in file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found nested table in md file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Fixing missing end table tag in file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Fixing missing end table tag in file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md
Warning,e97aeeee-9e43-416f-b433-9cdd63d8874b,Found invalid tables saving file:e97aeeee-9e43-416f-b433-9cdd63d8874b.md
Warning,e9fa0009-34e2-4da0-98a7-0a395fcebf41,Found a an ul list inside a table in html file:e9fa0009-34e2-4da0-98a7-0a395fcebf41.xml
