Error Type,Topic Guid,Message
Warning,23f2aeb6-fed9-4349-8fba-dcbf18ee4b04,Found a an ul list inside a table in html file:23f2aeb6-fed9-4349-8fba-dcbf18ee4b04.xml
Warning,23f2aeb6-fed9-4349-8fba-dcbf18ee4b04,Found nested table in md file:23f2aeb6-fed9-4349-8fba-dcbf18ee4b04.md
Warning,25697446-b045-4d12-9b1c-47f694b4f224,Found a an ul list inside a table in html file:25697446-b045-4d12-9b1c-47f694b4f224.xml
Warning,25b8ae7a-e5a0-43c0-92ae-7e144d5e4a36,Found a an ul list inside a table in html file:25b8ae7a-e5a0-43c0-92ae-7e144d5e4a36.xml
Warning,269a4436-f09f-415b-96ab-49a64370a385,Found a an ul list inside a table in html file:269a4436-f09f-415b-96ab-49a64370a385.xml
Warning,269a4436-f09f-415b-96ab-49a64370a385,Found nested table in md file:269a4436-f09f-415b-96ab-49a64370a385.md
Warning,269a4436-f09f-415b-96ab-49a64370a385,Fixing missing end table tag in file:269a4436-f09f-415b-96ab-49a64370a385.md
Warning,269a4436-f09f-415b-96ab-49a64370a385,Fixing missing end table tag in file:269a4436-f09f-415b-96ab-49a64370a385.md
Warning,269a4436-f09f-415b-96ab-49a64370a385,Found invalid tables saving file:269a4436-f09f-415b-96ab-49a64370a385.md
Warning,26f806c1-f284-4637-b06b-06270336c540,Found a an ul list inside a table in html file:26f806c1-f284-4637-b06b-06270336c540.xml
